DATE,IPB50001N
2002-10-01,91.2403
2002-11-01,90.2465
2002-12-01,89.418
2003-01-01,90.1087
2003-02-01,91.0222
2003-03-01,91.6701
2003-04-01,89.138
2003-05-01,89.6601
2003-06-01,92.4511
2003-07-01,88.5183
2003-08-01,92.7466
2003-09-01,93.0049
2003-10-01,92.2643
2003-11-01,91.8176
2003-12-01,91.3032
2004-01-01,91.1469
2004-02-01,92.816
2004-03-01,93.1317
2004-04-01,91.4691
2004-05-01,92.8466
2004-06-01,95.0037
2004-07-01,92.0297
2004-08-01,95.5105
2004-09-01,94.9269
2004-10-01,95.245
2004-11-01,94.2353
2004-12-01,94.5751
2005-01-01,94.8034
2005-02-01,95.9358
2005-03-01,96.3718
2005-04-01,95.7106
2005-05-01,95.9619
2005-06-01,99.3175
2005-07-01,95.6909
2005-08-01,99.1665
2005-09-01,96.7927
2005-10-01,97.0284
2005-11-01,96.7182
2005-12-01,97.0838
2006-01-01,96.5178
2006-02-01,97.2296
2006-03-01,98.4925
2006-04-01,96.6676
2006-05-01,98.0038
2006-06-01,101.4201
2006-07-01,98.4232
2006-08-01,101.8188
2006-09-01,100.8347
2006-10-01,99.7156
2006-11-01,98.4817
2006-12-01,99.4472
2007-01-01,98.3636
2007-02-01,99.8495
2007-03-01,100.9223
2007-04-01,100.053
2007-05-01,100.9675
2007-06-01,103.9863
2007-07-01,100.7665
2007-08-01,104.0526
2007-09-01,103.539
2007-10-01,101.9831
2007-11-01,101.4623
2007-12-01,101.5447
2008-01-01,100.8906
2008-02-01,100.6704
2008-03-01,100.9865
2008-04-01,99.6537
2008-05-01,99.3094
2008-06-01,101.972
2008-07-01,99.2924
2008-08-01,99.9798
2008-09-01,94.8864
2008-10-01,94.6463
2008-11-01,92.5785
2008-12-01,90.4845
2009-01-01,87.9318
2009-02-01,87.1759
2009-03-01,86.2422
2009-04-01,83.9273
2009-05-01,84.1287
2009-06-01,86.3275
2009-07-01,85.7948
2009-08-01,88.8278
2009-09-01,88.0744
2009-10-01,87.7038
2009-11-01,87.3429
2009-12-01,88.0815
2010-01-01,88.9368
2010-02-01,88.985
2010-03-01,90.0566
2010-04-01,89.0803
2010-05-01,90.8466
2010-06-01,93.6375
2010-07-01,92.0813
2010-08-01,94.6792
2010-09-01,93.5784
2010-10-01,92.6716
2010-11-01,91.7553
2010-12-01,93.1518
2011-01-01,93.0379
2011-02-01,92.2574
2011-03-01,93.8836
2011-04-01,92.0885
2011-05-01,92.8115
2011-06-01,95.6322
2011-07-01,94.5969
2011-08-01,97.0276
2011-09-01,95.9479
2011-10-01,95.7452
2011-11-01,95.0501
2011-12-01,95.9271
2012-01-01,96.3189
2012-02-01,96.5144
2012-03-01,96.6272
2012-04-01,95.7775
2012-05-01,96.574
2012-06-01,99.0455
2012-07-01,97.5914
2012-08-01,99.2377
2012-09-01,98.224
2012-10-01,97.4016
2012-11-01,97.2944
2012-12-01,97.7619
2013-01-01,97.8199
2013-02-01,98.0943
2013-03-01,98.7528
2013-04-01,97.8161
2013-05-01,98.0455
2013-06-01,100.7451
2013-07-01,98.886
2013-08-01,101.5587
2013-09-01,100.9615
2013-10-01,99.8521
2013-11-01,99.5758
2013-12-01,99.8067
2014-01-01,99.7192
2014-02-01,100.3201
2014-03-01,101.8079
2014-04-01,100.3912
2014-05-01,101.2786
2014-06-01,104.1448
2014-07-01,102.3716
2014-08-01,104.8168
