date,overall,mining,mfg,electric,mfg_food,mfg_textiles,mfg_wood,mfg_petroleum,mfg_metal,mfg_electric,mfg_transport,overall_sa,mining_sa,mfg_sa,electric_sa
1/5/2017,107.8790422,98.63450934,110.5627099,115.318,110.5885219,123.2230053,109.875918,109.42483,109.2234827,115.6543362,98.45433324,107.537,97.403,110.755,111.076
1/6/2017,109.5385851,103.2272179,111.8215802,109.965,105.1744132,113.8392016,109.6538633,109.5610051,111.7200094,121.8384914,99.7158303,109.008,104.159,110.586,111.401
1/7/2017,110.3151197,101.3030191,113.104386,115.781,124.244941,109.5009448,108.4512126,108.3390091,114.1238567,119.4431926,96.75767308,109.808,103.025,110.97,112.485
1/8/2017,110.2412512,101.0657065,112.9548689,117.1089535,120.0812429,109.990492,107.6171604,107.2170476,110.9562216,120.1052782,108.4228691,110.788,108.565,112.248,113.137
1/9/2017,109.5205781,98.25507602,113.6697227,109.517,115.8796909,117.788105,110.6708908,108.8381514,110.0562548,122.954088,105.580352,109.983,104.424,111.745,111.999
1/10/2017,112.8503246,104.8736003,115.4709431,116.1216954,120.1631143,121.5081794,109.9838273,113.8033838,111.8396943,122.9081461,99.92721333,109.167,102.972,111.344,114.019
1/11/2017,111.8638393,106.5869765,113.8714533,111.2005013,121.8750856,126.5772113,114.9768103,110.5247055,110.512109,118.1906092,102.0228721,110.804,104.082,113.316,113.459
1/12/2017,112.0553772,107.2536909,113.7201632,113.124,125.1776154,120.1587012,118.2449147,110.9842883,110.0354515,116.2328227,99.57095839,109.852,100.702,112.727,114.124
1/1/2018,113.3969347,107.633557,115.7203199,111.3239403,117.5125482,116.8917975,115.513241,112.0115922,115.0078053,119.4391252,115.5759402,109.866,100.455,113.184,111.934
1/2/2018,101.7742891,94.42695559,104.4286008,102.306,100.8817085,114.4386539,112.2187668,109.840433,101.9440182,99.87335219,100.2907227,110.83,99.314,114.656,113.028
1/3/2018,112.0802999,105.6136478,114.0088101,116.755,111.5694848,118.1354345,115.6908806,112.0996741,113.2942569,116.3242475,115.9393467,111.09,100.57,114.552,114.149
1/4/2018,108.9346368,100.0960351,111.5619921,115.412,114.5698037,117.4151213,111.5685736,106.4532558,113.1193982,116.7319963,105.3020536,113.036,103.179,116.453,114.666
1/5/2018,111.5775933,100.1297503,115.1401822,118.32,114.2854021,125.86874,112.7944725,113.5026327,114.6917057,121.2165285,103.3534259,112.183,101.109,116.246,114.684
1/6/2018,111.7523492,97.44388875,116.8750978,113.2661645,108.8328988,120.7504998,115.5893725,113.2731154,117.4974572,128.4562819,104.4205979,112.025,99.357,116.288,114.98
1/7/2018,113.2150449,95.45674681,118.9988139,121.0183041,120.6922578,113.4668019,114.9774022,112.6775449,120.5039327,128.945597,109.8617905,113.033,97.797,117.191,117.284
1/8/2018,112.2880876,94.85010833,117.7898939,121.7837322,122.6118984,113.1709997,114.4492184,110.9609527,116.3743024,125.5599431,116.4359852,112.136,99.686,116.225,117.284
1/9/2018,112.3626001,93.54690791,119.1230866,114.1051074,123.8900238,120.4050612,117.7322304,112.9289503,115.1487792,129.7134782,107.9852589,112.151,99.589,116.466,115.678
1/10/2018,117.7029525,106.4925544,121.6736958,119.3309809,123.2973699,124.132869,117.1767083,118.4789493,116.9684013,131.5837763,109.9871766,113.634,104.162,117.059,116.679
1/11/2018,114.2063225,103.5457423,118.0745239,114.8029924,119.7797406,132.693308,118.2365431,114.2566621,115.0462939,124.4280853,110.5240026,112.486,101.038,116.842,116.949
1/12/2018,115.9181686,108.3526539,118.6755522,116.2154042,123.7608403,125.1709501,124.1721614,114.9446282,114.4992634,124.6531492,106.5360356,112.405,100.9,116.398,116.654
1/1/2019,117.706041,109.3759507,120.5501366,120.0141683,120.6081675,123.2578987,122.0718768,116.5117055,119.954392,124.058203,122.8709581,113.451,101.706,117.391,119.39
1/2/2019,104.2446499,92.39681291,108.3077513,107.3421299,107.2768927,118.5153427,118.4059174,111.5599997,106.6116615,102.9821147,107.4111868,112.911,96.484,118.188,118.48
1/3/2019,115.8277436,106.3021393,118.7054954,122.3320304,119.1278254,123.8884865,121.448812,116.2811373,117.3042806,119.5057184,122.9826127,114.499,101.218,118.947,119.431
1/4/2019,112.6223878,99.94976244,116.3720437,122.0890514,119.4326689,124.0586648,117.321432,110.2998594,117.6590142,121.4624283,112.9353711,116.883,102.571,121.844,120.94
1/5/2019,116.188772,103.7116772,119.9259302,125.0413052,119.3675349,133.1802927,120.1079661,117.1848838,119.051204,125.75064,110.4863646,117.789,103.133,122.95,121.76
1/6/2019,115.2841699,98.83496529,121.3538816,115.1614917,112.988082,127.3525889,121.0446356,116.619241,123.1207813,132.9441048,110.3004764,116.009,101.614,121.398,118.736
1/7/2019,114.7353071,87.89734826,123.7763658,123.4314002,121.6046352,120.0277915,121.3661415,116.5460155,125.7962246,135.2704097,116.2001204,115.648,91.019,122.708,119.663
1/8/2019,114.8481222,93.56333936,121.9814406,122.1267882,125.5084189,119.9967673,120.9122459,114.2471708,121.1975596,129.4574482,123.261547,114.464,98.737,120.193,118.146
1/9/2019,114.2361088,91.72686298,122.0832369,118.8020558,125.7751151,125.2752814,124.5574966,115.3432459,119.5405985,130.739257,114.7745444,113.614,98.828,118.829,119.874
1/10/2019,118.0122099,99.86783948,124.5086476,119.9282712,124.3306895,130.8209607,122.5697813,120.0688837,120.5629957,134.7472372,114.7555166,113.803,99.596,119.429,117.15
1/11/2019,116.9430656,105.305661,121.2615631,116.6052309,122.4402904,141.2179752,124.6928536,117.2971911,119.2695584,125.7437349,115.445907,114.874,100.744,119.502,118.594
1/12/2019,117.4188629,103.0815294,122.715657,117.2463321,124.455679,131.2441994,130.2698423,119.12468,119.7171246,128.5493764,111.5174248,113.648,96.029,119.913,117.563
1/1/2020,118.4901094,105.4386013,123.1495511,120.0080865,113.9480514,127.203132,125.7374158,120.7546108,124.6150253,128.0318791,124.5922301,113.694,96.301,119.716,118.926
1/2/2020,110.54329,97.36450057,115.0010764,114.6259908,112.0252085,126.3970722,125.863063,118.8390006,113.2490897,110.1537895,112.6217393,119.237,100.316,125.17,126.726
1/3/2020,109.9915184,98.65308603,113.8052298,113.7266377,107.4000772,122.4534462,114.0977784,120.4739068,105.7822838,113.6384706,110.5295959,108.82,93.852,114.15,110.983
1/4/2020,77.00413023,81.90227647,73.11030526,98.57166305,108.6635929,32.50328805,37.10946815,86.73870375,43.9027874,80.00067111,34.61828624,79.476,81.818,76.699,97.544
1/5/2020,91.22415521,81.44515231,92.79511592,112.1770032,116.3630264,72.89638058,72.98939528,91.19917535,65.30170965,111.6794945,68.00089642,92.486,79.247,95.881,109.484
1/6/2020,115.4238002,84.51402612,127.0967149,112.4349306,124.8964646,115.1213779,129.8710255,118.3791992,105.5969606,150.5119846,122.1100397,115.669,84.777,127.283,116.416
1/7/2020,116.7922566,87.88544547,127.397199,117.2122732,129.3075196,104.5041307,122.3755335,118.2911956,113.4429347,148.4884709,121.8159716,117.83,89.152,126.646,113.776
1/8/2020,114.7449877,86.18082701,124.683761,120.7373676,131.5462541,106.8219135,117.9101292,116.2145894,113.515507,138.6764194,127.5963501,114.359,90.784,122.86,117.307
1/9/2020,115.9363299,84.98412739,127.2980444,116.3201608,131.9108512,120.1622254,127.3636135,119.0221708,114.9321128,143.5427068,119.9322844,114.439,89.171,123.555,116.862
1/10/2020,117.801942,90.82404928,127.4417895,120.8505972,120.090268,127.4275614,124.4270766,122.4081103,117.8850968,144.9190706,118.7241643,112.919,88.645,121.976,118.038
1/11/2020,114.3362635,89.01576528,123.7269092,113.6577497,111.7490197,135.5753321,127.4816202,119.5921992,116.4292209,136.1296884,122.9008321,111.797,83.772,121.501,115.432
