date,lf_size,employed,unemployed,outside,u_rate,p_rate,ep_ratio,lf_size_sa,employed_sa,unemployed_sa,u_rate_sa,p_rate_sa,unemployed_15_24,u_rate_15_24,unemployed_15_30,u_rate_15_30,employed_employer,employed_employee,employed_ownaccount,employed_unpaidfamily,unemployed_active,unemployed_active_3mo,unemployed_active_6mo,unemployed_active_12mo,unemployed_active_long,unemployed_inactive
2017-01-01,14880.9,14366.8,514.1,7090.4,3.45,67.73,65.39,14908.5,14405.2,497.2,3.3,67.7,306.2,12.0,410.6,7.0,550.0,10652.0,2548.6,616.2,328.4,147.1,108.1,47.3,25.9,185.7
2017-02-01,14916.7,14401.8,514.8,7086.9,3.45,67.79,65.45,14906.1,14405.5,496.2,3.3,67.8,285.4,11.1,413.7,7.0,464.6,10677.2,2548.4,711.7,338.1,151.8,118.6,46.7,21.0,176.7
2017-03-01,14932.5,14421.7,510.8,7121.8,3.42,67.71,65.39,14908.1,14405.5,507.3,3.4,67.6,258.9,10.1,392.2,6.6,575.4,10624.8,2630.1,591.4,315.2,168.2,80.8,43.0,23.2,195.6
2017-04-01,14941.5,14429.6,511.9,7122.5,3.43,67.72,65.4,14949.3,14438.2,515.6,3.4,67.8,272.2,10.8,414.5,6.9,590.9,10525.1,2687.8,625.8,359.49999999999994,151.9,107.5,66.2,33.9,152.4
2017-05-01,14961.9,14454.4,507.5,7120.8,3.39,67.75,65.46,14979.3,14465.3,513.5,3.4,67.9,320.2,12.2,418.8,7.0,637.9,10357.7,2736.1,722.8,372.1,171.9,128.8,38.9,32.5,135.3
2017-06-01,15027.6,14519.9,507.7,7141.1,3.38,67.79,65.5,15011.4,14496.7,512.6,3.4,67.7,296.5,11.4,420.1,7.0,578.8,10745.8,2590.1,605.3,319.09999999999997,151.1,89.8,49.2,29.0,188.5
2017-07-01,15016.4,14497.4,519.0,7150.4,3.46,67.74,65.4,15032.2,14512.9,517.7,3.4,67.8,281.1,11.3,445.1,7.6,549.2,10656.4,2734.8,557.0,345.6,144.6,115.0,47.6,38.4,173.3
2017-08-01,15030.2,14513.4,516.9,7138.4,3.44,67.8,65.47,15009.4,14482.6,521.8,3.5,67.7,295.9,11.6,423.1,7.1,608.4,10703.7,2623.1,578.1,351.5,160.7,115.7,45.0,30.1,165.4
2017-09-01,15058.8,14544.3,514.5,7122.1,3.42,67.89,65.57,15054.6,14538.1,516.9,3.4,67.9,267.4,10.3,377.5,6.4,646.0,10701.8,2554.6,641.9,322.0,142.4,105.8,45.1,28.7,192.5
2017-10-01,15090.4,14581.7,508.8,7117.7,3.37,67.95,65.66,15095.9,14580.1,517.2,3.4,68.0,303.6,11.7,418.8,7.0,593.9,10949.6,2446.1,592.0,356.09999999999997,182.1,110.6,35.7,27.7,152.8
2017-11-01,15084.0,14578.9,505.1,7121.4,3.3,67.93,65.65,15087.6,14571.1,518.9,3.4,68.0,314.4,11.7,406.7,6.7,401.7,10935.5,2709.4,532.3,338.1,143.3,105.5,51.1,38.2,167.0
2017-12-01,15145.9,14640.1,505.8,7084.1,3.34,68.13,65.86,15145.0,14649.4,502.7,3.3,68.1,309.0,11.7,404.7,6.8,546.1,10982.5,2504.3,607.2,327.5,127.6,109.1,46.6,44.2,178.3
2018-01-01,15187.0,14670.5,516.5,7074.8,3.4,68.22,65.9,15216.231163834562,14709.450042612923,500.7,3.3,68.2,328.5,12.3,437.6,7.2,533.0,10749.4,2757.7,630.3,356.6,133.2,125.9,58.2,39.3,160.0
2018-02-01,15230.0,14721.5,508.5,7112.3,3.34,68.17,65.89,15216.761417566715,14724.15034706247,490.2,3.2,68.2,310.9,11.6,423.0,6.9,472.7,10746.4,2825.9,676.5,349.8,155.3,106.6,41.4,46.4,158.7
2018-03-01,15241.2,14732.5,508.7,7115.0,3.34,68.17,65.9,15215.1820387138,14714.548251133618,505.4,3.3,68.1,306.2,11.7,414.4,6.9,493.9,10585.3,2920.7,732.6,349.8,161.7,108.5,42.0,37.7,158.9
2018-04-01,15313.1,14803.1,510.0,7130.9,3.33,68.23,65.96,15323.980025818331,14814.951961569255,512.8,3.3,68.4,287.9,10.6,420.3,6.8,550.2,10832.6,2719.5,700.8,373.6,167.7,140.9,44.7,20.2,136.4
2018-05-01,15357.5,14852.6,504.8,7097.1,3.29,68.39,66.1,15372.411238901734,14860.178691132478,511.3,3.3,68.5,292.5,10.6,391.9,6.4,517.2,10751.8,2880.6,703.0,319.4,134.2,112.0,38.5,34.7,185.4
2018-06-01,15379.0,14863.2,515.8,7062.2,3.35,68.53,66.23,15362.868987563059,14839.605028005471,521.4,3.4,68.5,284.3,10.4,426.9,6.9,529.0,10823.6,2817.7,692.9,324.5,136.2,108.5,52.4,27.4,191.2
2018-07-01,15401.0,14882.4,518.6,7044.5,3.37,68.62,66.3,15422.128315792637,14904.01081568274,516.7,3.4,68.7,320.6,11.8,425.4,6.9,518.2,10651.2,3012.8,700.2,360.7,189.7,86.1,47.9,37.0,157.9
2018-08-01,15421.4,14896.5,525.0,7133.9,3.4,68.37,66.04,15397.533822575007,14863.354718976683,529.7,3.4,68.3,303.2,11.5,407.0,6.7,599.4,10758.4,2865.7,673.0,308.7,149.1,84.4,46.1,29.0,216.3
2018-09-01,15442.9,14926.5,516.4,7096.8,3.34,68.51,66.22,15443.363300899025,14924.70903491581,518.6,3.4,68.5,289.5,10.5,413.3,6.8,639.1,10690.0,2907.8,689.6,361.6,174.1,103.0,37.5,47.1,154.8
2018-10-01,15450.0,14937.1,512.9,7093.7,3.32,68.53,66.26,15452.936057850993,14932.769496845916,522.0,3.4,68.5,277.2,10.1,429.1,7.0,513.7,10764.5,2944.6,714.2,331.1,165.2,85.5,49.2,31.3,181.8
2018-11-01,15457.5,14941.3,516.2,7151.2,3.34,68.37,66.09,15458.736698935914,14929.95323554099,529.8,3.4,68.4,289.0,10.5,415.1,6.7,545.8,10899.2,2836.9,659.4,347.8,168.9,87.2,52.6,39.2,168.3
