Date,usd_myr,crude_oil,dow_jones,klci,exports_my,imports_my,ipi_my,cpi_my,m1_my,m2_my,opr_my,exports_us,imports_us,ipi_us,cpi_us,m1_us,m2_us,fedrate_us
2019-12-01,4.147995406931097,59.80476197742281,28167.005766369046,1582.883812313988,86435.70998900001,73880.15848099999,117.452,122.3,452559.52102421003,1950567.9311512099,3.0,135455.6248,201877.3545,101.7565,256.974,4043.3,15412.5,1.55
2020-01-01,4.076495626698369,57.52857190086728,28879.994326636905,1581.5833333333333,84288.448529,72249.892504,118.547,122.4,449232.11012884,1950873.0437788398,2.75,129119.5407,195796.2041,101.2492,257.971,3983.5,15397.1,1.55
2020-02-01,4.154589986801147,50.54210502222965,28519.73159950658,1528.5769958496094,74604.085453,62160.441629,110.597,122.4,444417.80514811,1948485.87988511,2.75,131116.9867,178107.96,101.9971,258.678,3941.4,15382.3,1.58
2020-03-01,4.292463627728549,30.445454597473145,22637.420809659092,1363.5449940074575,80229.216382,68737.275003,110.082,120.9,461694.45955801004,1960826.8679140105,2.5,133295.7492,193922.8479,97.9614,258.115,4285.7,16051.5,0.65
2020-04-01,4.348963672464544,16.699047678992862,23293.899832589286,1370.5677379261363,64911.019816,69375.547785,77.052,117.6,466194.27446946,1986579.4977424596,2.5,94708.95458,165611.8857,82.6767,256.389,4847.1,17097.7,0.05
2020-05-01,4.334261939639137,28.527499961853028,24271.02138671875,1415.2331314086914,62800.999398,52942.892285999995,91.279,117.9,479419.78954046,2000159.7746184599,2.0,91026.76498,163494.0794,84.9798,256.394,16166.3,17762.5,0.05
2020-06-01,4.27504545992071,38.313636086203836,26062.270152698864,1523.3384948730468,82905.37417899999,62995.791617999996,115.479,119.1,488233.2173224599,2014091.4249574598,2.0,105122.4447,179138.1152,92.9937,257.797,16539.9,18099.1,0.08
2020-07-01,4.263086982395338,40.76590919494629,26385.83087713068,1584.1409135298295,92682.081891,67424.248124,116.859,119.9,497168.94691676006,2024041.57963676,1.75,113303.5359,199927.6978,95.0939,259.101,16741.8,18248.1,0.09
2020-08-01,4.186785697937012,42.38809512910389,27821.367280505954,1566.4020931846217,80754.2838,65974.870402,114.805,120.1,502304.03211076,2026995.31272976,1.75,118351.8156,203112.0487,98.2239,259.918,16865.1,18315.1,0.1
2020-09-01,4.147022724151611,39.625714074997674,27733.396391369046,1510.0938139415923,88892.145201,66955.95680900001,115.98,120.1,513225.72411901,2033284.5467340099,1.75,121447.9003,206083.6685,95.703,260.28,17131.9,18538.0,0.09
2020-10-01,4.150136319073764,39.55454531582919,28005.105024857956,1505.4738130115327,91190.220008,68930.985423,117.862,120.2,519417.46714086004,2030760.7493388602,1.75,132638.4927,218952.6085,96.4557,260.388,17313.9,18681.5,0.09
2020-11-01,4.112357116880871,41.346500396728516,29124.03662109375,1562.4495093936011,84721.2686,67616.623101,114.393,120.0,525825.20153627,2031849.1179412701,1.75,127232.2081,212453.3148,96.2847,260.229,17630.6,18968.7,0.09
2020-12-01,4.055500030517578,47.068181471391156,30148.57990056818,1643.417275168679,95847.62266200001,75116.795059,119.519,120.6,523662.89473661,2037481.0781576098,1.75,132631.0106,214876.7503,97.8694,260.474,17934.4,19232.9,0.09
2021-01-01,4.0345000085376554,52.102105592426504,30821.352590460527,1603.7452585320723,89676.766017,73057.699889,120.041,122.1,535211.2944170199,2043093.47489202,1.75,128153.2208,204628.2702,98.9665,261.582,18068.6,19355.4,0.09
2021-02-01,4.042825055122376,59.06105262354801,31283.909847861843,1583.6311170789932,87804.31192600001,69680.09465,112.384,122.5,541124.75379102,2055196.26331302,1.75,124189.0729,193435.0576,95.8886,263.014,18242.4,19502.9,0.08
2021-03-01,4.104195656983749,62.357391357421875,32373.29110054348,1606.953910495924,105228.130706,80867.130551,120.629,122.9,549566.7177892202,2083780.52781322,1.75,152653.7279,236917.1643,98.702,264.877,18696.8,19921.7,0.07
2021-04-01,4.122149987654253,61.70380982898531,33803.28608630953,1601.3485746837798,105630.90487900001,85293.186379,115.27,123.1,551531.09767007,2073628.23774007,1.75,144013.4735,226461.8216,96.9615,267.054,19056.5,20245.0,0.07
2021-05-01,4.124261969611759,65.15699977874756,34270.30859375,1582.1572129991318,92387.496974,78531.656132,115.331,123.1,551624.1398690201,2076555.3219060202,1.75,145828.9545,230413.9972,98.1503,269.195,19136.4,20290.0,0.06
2021-06-01,4.130909096110951,71.3527287569913,34289.906782670456,1572.9276123046875,105316.873234,83217.27709300001,116.946,123.2,547706.69414307,2082273.1961050702,1.75,148066.5998,242322.1187,100.802,271.696,19276.4,20410.4,0.08
2021-07-01,4.196363644166426,72.43047659737724,34798.80431547619,1519.8418956938244,97124.455453,83564.140447,110.607,122.5,550824.87912996,2100134.8085819595,1.75,144285.4693,237302.4009,100.1131,273.003,19445.4,20561.4,0.1
2021-08-01,4.219581820748069,67.71136318553577,35243.96590909091,1524.3005004882812,95379.368745,74245.02275,114.452,122.5,551831.4517726101,2098883.9864876103,1.75,148305.2778,245231.531,101.8919,273.567,19656.5,20753.4,0.09
2021-09-01,4.16375452821905,71.54476202101935,34688.42131696428,1558.5385684058779,110882.447759,84650.170712,118.272,122.8,562955.70050194,2127284.9990309402,1.75,142346.5557,244355.8447,98.75,274.31,19840.5,20926.5,0.08
2021-10-01,4.16390475772676,81.22285752069382,35055.517857142855,1574.2134948730468,114488.118913,87905.44953700001,124.39,123.7,559928.62964454,2122374.47096554,1.75,164120.465,251211.8889,100.1228,276.589,20012.9,21092.5,0.08
2021-11-01,4.172750039534136,78.653809320359,35848.57068452381,1524.1876162574404,112670.570259,93383.639697,124.942,124.0,580847.44867394,2154570.19183694,1.75,156499.3608,259390.1621,100.6087,277.948,20258.2,21326.5,0.08
2021-12-01,4.209739166757335,71.69000070745295,35641.333806818184,1507.2586447975852,124432.647966,92948.506276,126.595,124.5,578301.87515455,2165806.96443855,1.75,159281.5474,256845.2426,100.6437,278.802,20579.9,21649.6,0.08
2022-01-01,4.187285763876779,82.97900009155273,35456.1447265625,1537.0370056152344,111060.00939800001,92822.474443,124.865,124.9,585517.6350947,2171245.8385807,1.75,148311.9549,247067.4739,101.5271,281.148,20545.4,21632.1,0.08
2022-02-01,4.184655070304871,91.62894680625514,34648.48026315789,1573.562771267361,101741.736349,82589.28133499999,116.442,125.2,587656.4733974099,2190249.32216141,1.75,150966.3425,233925.5872,102.0634,283.716,20523.7,21584.5,0.08
2022-03-01,4.197413029878036,108.26217385996942,34029.74065896739,1584.822170091712,131488.11575,105244.06824899999,126.6,125.6,592214.4402320799,2196197.21642808,1.75,179912.924,295671.0055,103.2771,287.504,20807.8,21859.7,0.2
2022-04-01,4.258323805672782,101.64049949645997,34314.9900390625,1597.0055114746094,127482.87260300001,104107.465827,120.477,125.9,603922.9315023798,2209303.37214538,1.75,174106.5428,272429.6412,100.8862,289.109,20826.8,21850.8,0.33
2022-05-01,4.377718231894753,109.259522937593,32379.462797619046,1550.148905436198,120589.64189,107791.338885,119.432,126.6,603888.1266943499,2218313.90301335,2.0,178785.7271,285309.3167,101.9909,292.296,20544.0,21548.7,0.77
